sample_id,machine_id,fault_mode,severity,rpm,load_percent,split,provenance
FGOE-00-0000,SIM-RM-00,normal,0.0,2123.956048555963,65.72149078264366,train,ForgeGuard physics-informed generator
FGOE-00-0001,SIM-RM-01,normal,0.0,2208.5979199113826,83.81576203415548,train,ForgeGuard physics-informed generator
FGOE-00-0002,SIM-RM-02,normal,0.0,1444.1773478876496,103.29356461457292,train,ForgeGuard physics-informed generator
FGOE-00-0003,SIM-RM-03,normal,0.0,2111.139701990353,90.02450136938677,train,ForgeGuard physics-informed generator
FGOE-00-0004,SIM-RM-04,normal,0.0,1478.113632675546,66.5270156526897,train,ForgeGuard physics-informed generator
FGOE-00-0005,SIM-RM-05,normal,0.0,1720.7980242325812,99.87354921940212,train,ForgeGuard physics-informed generator
FGOE-00-0006,SIM-RM-06,normal,0.0,1993.8651200806644,92.5933129289581,train,ForgeGuard physics-informed generator
FGOE-00-0007,SIM-RM-07,normal,0.0,1793.4141988273311,50.90671052493438,train,ForgeGuard physics-informed generator
FGOE-00-0008,SIM-RM-08,normal,0.0,1904.5847870158348,39.46720792729227,train,ForgeGuard physics-informed generator
FGOE-00-0009,SIM-RM-09,normal,0.0,2177.631171992582,79.21650793854454,validation,ForgeGuard physics-informed generator
FGOE-00-0010,SIM-RM-10,normal,0.0,2108.0877400853738,59.81681776909079,validation,ForgeGuard physics-informed generator
FGOE-00-0011,SIM-RM-11,normal,0.0,2320.6980243949033,97.51847849255384,test,ForgeGuard physics-informed generator
FGOE-00-0012,SIM-RM-12,normal,0.0,2128.3834970737616,48.62470954963773,test,ForgeGuard physics-informed generator
FGOE-00-0013,SIM-RM-13,normal,0.0,1816.7210037270343,38.066263605106016,test,ForgeGuard physics-informed generator
FGOE-00-0014,SIM-RM-00,normal,0.0,1504.2894920675478,82.81342672697183,train,ForgeGuard physics-informed generator
FGOE-00-0015,SIM-RM-01,normal,0.0,2094.762155907817,102.7256812703947,train,ForgeGuard physics-informed generator
FGOE-00-0016,SIM-RM-02,normal,0.0,1675.8253581381518,60.932179422440825,train,ForgeGuard physics-informed generator
FGOE-00-0017,SIM-RM-03,normal,0.0,1819.5558112758079,48.2629951359,train,ForgeGuard physics-informed generator
FGOE-00-0018,SIM-RM-04,normal,0.0,1479.9215053354717,68.29934483581536,train,ForgeGuard physics-informed generator
FGOE-00-0019,SIM-RM-05,normal,0.0,1576.9093490508842,81.88697962777573,train,ForgeGuard physics-informed generator
